goldcode-sv,pdp_url,image_no,image_url,link_status
00964532-1,https://www.tefal.com.vn/products/tefal-easy-rice-rk732168-1-8l,1,https://www.tefal.com.vn/cdn/shop/files/7211004184.jpg?v=1765036540&width=1946,Active
01410677-1,https://www.tefal.com.vn/products/tefal-easy-steam-fv1955e0-1400w,1,https://www.tefal.com.vn/cdn/shop/files/1830008321_01.jpg?v=1768208196&width=1946,Active
01410668-1,https://www.tefal.com.vn/products/mini-tefal-rk224168-0-7l,1,https://www.tefal.com.vn/cdn/shop/files/1_3adde7fd-4880-40ea-8b7b-98c988f3051b.jpg?v=1764524857&width=1946,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,1,https://bizweb.dktcdn.net/100/367/623/products/noi-com-con-heo-3.jpg?v=1720688780017,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,2,https://bizweb.dktcdn.net/100/367/623/products/noi-com-con-heo-4.jpg?v=1720688784217,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,3,https://bizweb.dktcdn.net/100/367/623/products/noi-com-con-heo-5.jpg?v=1720688784217,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,4,https://bizweb.dktcdn.net/100/367/623/products/noi-com-con-heo-6.jpg?v=1720688784217,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,5,https://bizweb.dktcdn.net/100/367/623/products/noi-com-con-heo-2.jpg?v=1720688784217,Active
01264769-1,https://cometgiadung.vn/noi-com-dien-cm8006,6,https://bizweb.dktcdn.net/100/367/623/files/noi-com-con-heo-comet-2.jpg?v=1720689543045,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,1,https://bizweb.dktcdn.net/100/367/623/products/2-d42b6cac-3c86-488b-9be2-d480c6bca5f3.jpg?v=1721701142847,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,2,https://bizweb.dktcdn.net/100/367/623/products/3-35a2192c-06ea-4d22-aeef-5e15bdef3aab.jpg?v=1721701154230,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,3,https://bizweb.dktcdn.net/100/367/623/products/4-5fe3a164-2ee6-47fd-b7a4-5108073647d6.jpg?v=1721701163027,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,4,https://bizweb.dktcdn.net/100/367/623/products/5-6f9e94bc-7bec-4188-a8e8-59381f130b21.jpg?v=1721701161397,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,5,https://bizweb.dktcdn.net/100/367/623/products/9955-2e.jpg?v=1721701154230,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,6,https://bizweb.dktcdn.net/100/367/623/products/tam-2-42e7882c-dd5c-4c15-a65c-6f9aec60ddd4.jpg?v=1721701163027,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,7,https://bizweb.dktcdn.net/100/367/623/products/tam-3-bae404ff-8ab3-4abd-b0e8-f3ee7aafe2d5.jpg?v=1721701145400,Active
01264768-1,https://cometgiadung.vn/may-xay-sinh-to-coi-nhua-khang-vo-450w-comet-cm9955,8,https://bizweb.dktcdn.net/100/367/623/products/tam-4-13.jpg?v=1721701148963,Active
02063649-1,https://ac-electric.com.vn/dieu-hoa-khong-khi/quat-dung/quat-dung-ac-55w-asf05a163,1,https://ac-electric.com.vn/Data/Sites/1/media/san-pham/dieu-hoa-khong-khi-/0-1.jpg,Active
02063649-1,https://ac-electric.com.vn/dieu-hoa-khong-khi/quat-dung/quat-dung-ac-55w-asf05a163,2,https://ac-electric.com.vn/Data/Sites/1/media/san-pham/dieu-hoa-khong-khi-/2.jpg,Active
02040293-1,https://www.bluestone.com.vn/products/may-say-toc-bluestone-hdb-1827-1100w,1,https://file.hstatic.net/200000700229/file/hdb-1827-05_35040cdf940746568f33b1431daf36a0.jpg,Active
02048291-1,https://www.bluestone.com.vn/products/noi-com-dien-bluestone-rcb-5519,1,https://file.hstatic.net/200000700229/file/rcb-5519-07_2be1d1de5aa44b80bd3ed4af44cf834a.jpg,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,1,https://file.hstatic.net/200000700229/file/7815-01_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,2,https://file.hstatic.net/200000700229/file/7815-04_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,3,https://file.hstatic.net/200000700229/file/7815-05_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,4,https://file.hstatic.net/200000700229/file/7815-03_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,5,https://file.hstatic.net/200000700229/file/7815-02_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,6,https://file.hstatic.net/200000700229/file/7815-06_grande.png,Active
02101609-1,https://www.bluestone.com.vn/products/lo-vi-song-bluestone-mob-7815-dung-tich-20l,7,https://file.hstatic.net/200000700229/file/7815-08_grande.png,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,1,https://sunhouse.com.vn/pic/product/images/so%cc%82%cc%81%201(6).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,2,https://sunhouse.com.vn/pic/product/images/Banner-NCKD(8).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,3,https://sunhouse.com.vn/pic/product/images/SHD4037(1).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,4,https://sunhouse.com.vn/pic/product/images/SHD4037%20-%203(1).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,5,https://sunhouse.com.vn/pic/product/images/02(52).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,6,https://sunhouse.com.vn/pic/product/images/03(51).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,7,https://sunhouse.com.vn/pic/product/images/04(40).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,8,https://sunhouse.com.vn/pic/product/images/05(33).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,9,https://sunhouse.com.vn/pic/product/images/06(23).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,10,https://sunhouse.com.vn/pic/product/images/07(24).jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,11,https://sunhouse.com.vn/pic/product/images/09.jpg,Active
02099496-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-9l-sunhouse-shd4037.html,12,https://sunhouse.com.vn/pic/product/images/SHD4037%20-%202(1).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,1,https://sunhouse.com.vn/pic/product/images/Banner-NCKD(10).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,2,https://sunhouse.com.vn/pic/product/images/1000x670_4(2).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,3,https://sunhouse.com.vn/pic/product/images/1000x670_7(17).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,4,https://sunhouse.com.vn/pic/product/images/1000x670_5(2).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,5,https://sunhouse.com.vn/pic/product/images/1000x670_6(2).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,6,https://sunhouse.com.vn/pic/product/images/1000x670_8(12).jpg,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,7,https://sunhouse.com.vn/pic/product/images/9(2).png,Active
02055406-1,https://sunhouse.com.vn/dien-gia-dung/noi-chien-khong-dau/noi-chien-khong-dau-6-5l-sunhouse-shd4030.html,8,https://sunhouse.com.vn/pic/product/images/1000x670_10(2).jpg,Active
02040356-1,https://sunhouse.com.vn/dien-gia-dung/bep-tu/bep-tu-don-sunhouse-shd6156mt.html,1,https://sunhouse.com.vn/pic/general/images/1000x670_7(4).jpg,Active
02040356-1,https://sunhouse.com.vn/dien-gia-dung/bep-tu/bep-tu-don-sunhouse-shd6156mt.html,2,https://sunhouse.com.vn/pic/general/images/1000x670_4(19).jpg,Active
02040356-1,https://sunhouse.com.vn/dien-gia-dung/bep-tu/bep-tu-don-sunhouse-shd6156mt.html,3,https://sunhouse.com.vn/pic/general/images/1000x670_5(13).jpg,Active
